Source Target Label
EGF EGFR 1
EGF (ERBB2*+EGFR) 1
EGFR PI3K 1
PI3K PIP3 1
PIP3 AKT 1
AKT BAD -1
AKT MTOR 1
AKT IKK 1
AKT S6K 1
FLT3* GRB2 1
GRB2 SOS 1
SOS RAS 1
RAS PI3K 1
(KRAS*,NRAS*) PI3K 1
(ERBB2*+EGFR) PI3K 1
MTOR S6K 1
EGFR* PI3K 1
FGF FGFR 1
FGFR PI3K 1
FGFR* PI3K 1
PDGF PDGFR 1
PDGFR PI3K 1
PDGFR* PI3K 1
HGF MET 1
MET GAB1 1
GAB1 PI3K 1
MET* GAB1 1
KITLG KIT 1
KIT PI3K 1
KIT* PI3K 1
EML4-ALK PI3K 1
BCR-ABL (CRKL+CBL+CRK) 1
(CRKL+CBL+CRK) PI3K 1
PI3K* PIP3 1
kshvK1 PI3K 1
IKK NFKBIA 1
NFKBIA NFKB 1
NFKB VEGFA 1
IGF1 IGF1R 1
IGF1R PI3K 1
FLT3LG FLT3 1
FLT3 GRB2 1
PTEN PIP3 -1
TGFA EGFR 1
TGFA* EGFR 1
IGF2 IGF1R 1
IGF2 IGF1R* 1
IGF2* IGF1R 1
IGF1R* PI3K 1
HGF* MET 1
hbvX PI3K 1
hcvNS5A PI3K 1
EGF* EGFR 1
EREG EGFR 1
EREG* EGFR 1
AREG EGFR 1
AREG* EGFR 1
htlvTAX PI3K 1
htlvTAX DLG1 -1
DLG1 PTEN 1
