Id Label
EGF EGF
EGFR EGFR
PI3K PI3K
PIP3 PIP3
AKT AKT
FLT3* FLT3*
GRB2 GRB2
SOS SOS
RAS RAS
(KRAS*,NRAS*) (KRAS*,NRAS*)
(ERBB2*+EGFR) (ERBB2*+EGFR)
MTOR MTOR
EGFR* EGFR*
FGF FGF
FGFR FGFR
FGFR* FGFR*
PDGF PDGF
PDGFR PDGFR
PDGFR* PDGFR*
HGF HGF
MET MET
GAB1 GAB1
MET* MET*
KITLG KITLG
KIT KIT
KIT* KIT*
EML4-ALK EML4-ALK
BCR-ABL BCR-ABL
(CRKL+CBL+CRK) (CRKL+CBL+CRK)
PI3K* PI3K*
PTEN* PTEN*
NKX3-1* NKX3-1*
kshvK1 kshvK1
IKK IKK
NFKBIA NFKBIA
NFKB NFKB
IGF1 IGF1
IGF1R IGF1R
FLT3LG FLT3LG
FLT3 FLT3
PTEN PTEN
TGFA TGFA
TGFA* TGFA*
IGF2 IGF2
IGF2* IGF2*
IGF1R* IGF1R*
HGF* HGF*
hbvX hbvX
hcvNS5A hcvNS5A
EGF* EGF*
EREG EREG
EREG* EREG*
AREG AREG
AREG* AREG*
htlvTAX htlvTAX
DLG1 DLG1
