Module	Symbol
m1	TMEM189
m1	UBE2D2
m1	UBE2D1
m1	UBE2N
m1	RNF40
m1	UBE2B
m1	UBE2A
m1	WWP1
m1	TCEB2
m1	TCEB1
m1	SKP1
m1	UBE2L6
m1	SOCS3
m1	SOCS1
m1	SMURF2
m1	PARK2
m1	RBX1
m1	TRIM36
m1	ZNF645
m1	TRIM69
m1	UBE2H
m1	TRIM9
m1	TRIM71
m1	ZBTB16
m1	VPRBP
m1	TRIM4
m1	TRIP12
m1	RNF182
m1	SH3RF1
m1	RNF4
m1	UBE2Q2
m1	WSB1
m1	UBE2F
m1	TRAIP
m1	UBE2M
m1	RNF19B
m1	UBE2Q1
m1	TRIM37
m1	SKP2
m1	UBE2O
m1	UBA1
m1	SIAH2
m1	UBR4
m1	UBE2G2
m1	STUB1
m1	RBCK1
m1	SMURF1
m1	RNF125
m1	UBE2D3
m1	UBE2K
m1	TRIM32
m1	TRIM21
m1	UBE2V2
m1	FBXW5
m1	DCUN1D1
m1	FBXO25
m1	COMMD1
m1	CUL2
m1	NEDD4L
m1	NEDD4
m1	RNF111
m1	CDC23
m1	FZR1
m1	CDC27
m1	CDC16
m1	CUL1
m1	CUL7
m1	UBA3
m1	CACUL1
m1	RNF7
m1	FBXW12
m1	RNF25
m1	RNF115
m1	TRAF7
m1	FBXW7
m1	KLHL2
m1	RNF126
m1	FBXL15
m1	FBXL8
m1	ZNRF2
m1	FBXL3
m1	FBXO44
m1	ITCH
m1	FBXL19
m1	ZNRF1
m1	HECW2
m1	FBXO41
m1	FBXO4
m1	FBXL4
m1	FBXO17
m1	FBXO10
m1	FBXW11
m1	FBXO15
m1	UBA5
m1	RLIM
m1	SPSB1
m1	FBXO7
m1	SPSB2
m1	FBXO2
m1	FBXO6
m1	RNF6
m1	FBXO32
m1	LMO7
m1	FBXO9
m1	RNF217
m1	SPSB4
m1	MYLIP
m1	FBXO22
m1	RNF19A
m1	UBE2S
m1	FBXO31
m1	UBE3B
m1	FBXO18
m1	USP47
m1	FBXL2
m1	UBAC1
m1	RBBP6
m1	HECTD1
m1	BTRC
m1	CBLB
m1	UBE2J1
m1	UBE2G1
m1	UBE2E2
m1	UBE3A
m1	UBE2L3
m1	RCHY1
m1	HERC2
m1	UBOX5
m1	FBXW8
m1	TRIM41
m1	LNX1
m1	RNF130
m1	MIB2
m1	UBE4A
m1	RNF14
m1	UBE2E1
m1	UBR1
m1	UBR2
m1	UBE3C
m1	KBTBD6
m1	KEAP1
m1	KLHL42
m1	KLHL9
m1	MEX3C
m1	KLHL13
m1	KCTD6
m1	KLHL22
m1	KBTBD7
m1	PJA1
m1	KCTD7
m1	HECTD2
m1	PJA2
m1	FBXO40
m1	MKRN1
m1	FBXL12
m1	HERC1
m1	FBXL14
m1	HERC3
m1	RNF114
m1	HERC5
m1	MGRN1
m1	HERC4
m1	FBXL7
m1	HERC6
m1	UNKL
m1	UBE2E3
m1	ATG7
m1	FBXL16
m1	KLHL11
m1	RNF144B
m1	KLHL21
m1	HACE1
m1	KLHL5
m1	FBXL18
m1	FBXL5
m1	VHL
m1	RNF138
m1	FBXO21
m1	HUWE1
m1	FBXW9
m1	KLHL3
m1	LRSAM1
m1	LRRC41
m1	RNF213
m1	UBE2D4
m1	UBE2Z
m1	RNF41
m1	FBXO30
m1	HECTD3
m1	RNF123
m1	UBE2C
m1	KLHL20
m1	DZIP3
m1	FBXL13
m1	UBE2J2
m1	RNF34
m1	KBTBD8
m1	BTBD6
m1	CUL3
m1	CUL5
m1	CDC20
m1	DTX3L
m1	KLHL25
m1	ASB13
m1	CCNF
m1	ASB14
m1	ASB5
m1	BTBD1
m1	ASB15
m1	ASB9
m1	ASB2
m1	CDC34
m1	ASB6
m1	ASB16
m1	ASB8
m1	ASB7
m1	DET1
m1	ASB11
m1	CDC26
m1	ASB1
m1	ARIH2
m1	ZER1
m1	ANAPC13
m1	ANAPC4
m1	ANAPC5
m1	ANAPC7
m1	AREL1
m1	ANAPC11
m1	ANAPC10
m1	ANAPC1
m2	SRPK1
m2	SRSF1
m2	SRSF5
m2	SRSF4
m2	SRSF6
m2	SNW1
m2	SF3B2
m2	U2AF2
m2	RNPS1
m2	SKIV2L2
m2	NXF1
m2	NXT1
m2	THOC7
m2	RBM25
m2	SART1
m2	SRRM1
m2	SRRM2
m2	SNRNP70
m2	SART3
m2	LSM11
m2	ZNF473
m2	NCBP2
m2	SNRPB
m2	SNRPE
m2	NCBP1
m2	SNRPD3
m2	POLR2I
m2	TIAL1
m2	HNRNPA3
m2	POLR2G
m2	POLR2J
m2	POLR2D
m2	PUF60
m2	MFAP1
m2	EFTUD2
m2	SYMPK
m2	DHX9
m2	SNRNP25
m2	SNRNP40
m2	SNRPF
m2	SNRPD1
m2	TXNL4A
m2	SNRPG
m2	ZCRB1
m2	SNRPD2
m2	ZMAT5
m2	PDCD7
m2	ZRSR2
m2	SNRNP200
m2	PRPF6
m2	RNPC3
m2	SF3B4
m2	SF3B5
m2	DHX8
m2	SNRNP48
m2	SRPK2
m2	EDC4
m2	LSM4
m2	LSM6
m2	LSM7
m2	LSM3
m2	PATL1
m2	LSM1
m2	EDC3
m2	LSM5
m2	PRPF4
m2	PRPF3
m2	DCP1B
m2	DDX6
m2	DAW1
m2	NAA38
m2	YBX1
m2	HNRNPU
m2	CPSF4L
m2	CSTF1
m2	FIP1L1
m2	CSTF3
m2	CSTF2T
m2	PAPOLA
m2	SSU72
m2	EIF4A3
m2	PRPF19
m2	PPIE
m2	XAB2
m2	PRPF40B
m2	LUC7L
m2	PRPF40A
m2	SF3B3
m2	HFM1
m2	DHX35
m2	PRPF18
m2	SLU7
m2	CD2BP2
m2	SRRT
m2	GTF2F2
m2	GTF2F1
m2	CPSF4
m2	SYF2
m2	CCDC97
m2	SF3B1
m2	PTBP1
m2	UPF3B
m2	RBM8A
m2	MAGOHB
m2	MAGOH
m2	SNRPA1
m2	CWF19L2
m2	C10orf11
m2	CDC40
m2	CRNKL1
m2	RBM22
m2	PLRG1
m2	CDC5L
m2	SNRPB2
m2	SNRPA
m2	RBMX2
m2	BUD13
m2	BUD31
m2	NHP2L1
m2	PRPF31
m2	SF3A3
m2	RBM39
m2	SNRPN
m2	RBM23
m2	SF3A2
m2	SF3A1
m2	PRPF38A
m2	PHF5A
m2	PCBP1
m2	PABPN1
m2	PQBP1
m2	PCBP2
m2	U2AF1
m2	WBP11
m2	RBM17
m2	NUDT21
m2	WBP4
m2	PPIH
m2	PPIL1
m2	SNRPC
m2	U2AF1L4
m2	TXNL4B
m2	USP39
m2	SMNDC1
m2	RBMX
m2	SNRNP27
m2	PCF11
m2	CPSF7
m2	CSTF2
m2	TRA2B
m2	TFIP11
m2	CHERP
m2	HNRNPF
m2	SUGP1
m2	CPSF2
m2	PPWD1
m2	DDX46
m2	HNRNPA2B1
m2	DDX23
m2	DNAJC8
m2	CWC27
m2	CTNNBL1
m2	HNRNPH1
m2	HNRNPD
m2	CWC25
m2	CLP1
m2	RBM5
m2	DDX42
m2	HNRNPA1
m2	GPKOW
m2	HNRNPUL1
m2	ELAVL1
m2	DHX38
m2	SF1
m2	DHX15
m2	CWC22
m2	CPSF1
m2	HNRNPK
m2	HNRNPL
m2	PRCC
m2	SRSF11
m2	FUS
m2	CPSF3
m2	DHX16
m2	SRSF10
m2	HNRNPC
m2	THOC2
m2	THOC3
m2	THOC1
m2	THOC5
m2	THOC6
m2	HNRNPA0
m2	ELAVL2
m2	POLDIP3
m2	SARNP
m2	CASC3
m2	CHTOP
m2	CCAR1
m2	LSM10
m2	SRRM3
m2	YTHDC2
m2	ZC3H6
m2	YTHDC1
m2	AQR
m2	BCAS2
m2	FYTTD1
m2	ASCC3
m2	PAPOLG
m2	ALYREF
m3	SRP19
m3	TRAM1
m3	SRP9
m3	SSR4
m3	SRP72
m3	SRPR
m3	SSR1
m3	SRP68
m3	SSR2
m3	SRPRB
m3	SSR3
m3	SRP54
m3	SRP14
m3	RPN2
m3	MRPL4
m3	TEX10
m3	ISG20L2
m3	RPL7
m3	RPL31
m3	RPL10L
m3	RPL24
m3	RPL12
m3	RPL22
m3	RPL36AL
m3	RPL6
m3	RPL35
m3	RPL38
m3	RPL10A
m3	RPL5
m3	RPL21
m3	RPLP1
m3	RPL15
m3	RPL39
m3	RPL8
m3	RPL13A
m3	RPL11
m3	RPL37A
m3	RPL28
m3	RPL22L1
m3	RPL26L1
m3	RPL3
m3	RPL30
m3	RPL39L
m3	RPL27A
m3	RPL35A
m3	RPL14
m3	RPL13
m3	RPL7A
m3	RPL23A
m3	RPL36
m3	RPL36A
m3	RPL34
m3	RPL27
m3	RPL7L1
m3	RPS4Y1
m3	RPS4Y2
m3	WDR31
m3	RPS23
m3	RPS3
m3	RPS7
m3	RPS14
m3	RPS19
m3	RPS20
m3	RPS3A
m3	RPS15A
m3	RPS10
m3	RPS29
m3	RPS9
m3	RPS12
m3	RSL24D1
m3	RPS4X
m3	RPS25
m3	RPS16
m3	RPS18
m3	RPS26
m3	RPS15
m3	RPS17
m3	RPS6
m3	RPS11
m3	FAU
m3	RPS21
m3	MRPS10
m3	IMP3
m3	MRPS5
m3	MRPS12
m3	TPT1
m3	RPS28
m3	MRPS15
m3	MRPS11
m3	MRPS14
m3	RPL23
m3	MRPS7
m3	MRPS9
m3	RPL41
m3	PLEC
m3	NSA2
m3	RPS27
m3	MRPS2
m3	MRPL2
m3	RPL29
m3	RPS27L
m3	RPS24
m3	EIF4G1
m3	EIF2S1
m3	EIF2S3
m3	EIF2S2
m3	EIF4H
m3	EIF5
m3	EIF5B
m3	PABPC1
m3	RPL37
m3	EIF3D
m3	EIF3J
m3	EIF3E
m3	EIF3I
m3	EIF4E
m3	EIF3H
m3	EIF4B
m3	EIF3L
m3	EIF3K
m3	EIF3G
m3	EIF3M
m3	EIF1B
m3	EIF3C
m3	EIF3A
m3	EIF3B
m3	EIF1AX
m3	EIF1
m3	EIF1AY
m3	EEFSEC
m3	SECISBP2
m3	SEC61B
m3	SPCS1
m3	SEC61A1
m3	EEF1B2
m3	HBS1L
m3	EEF2
m3	FCF1
m3	NHP2
m3	DIS3L2
m3	EXOSC6
m3	EXOSC5
m3	EXOSC9
m3	EXOSC1
m3	EXOSC3
m3	EXOSC7
m3	EXOSC4
m3	EXOSC2
m3	EFTUD1
m3	MRPL22
m3	MRPL17
m3	MRPL3
m3	MRPL15
m3	MRPL16
m3	MRPL1
m3	SPCS3
m3	SEC11C
m3	SEC61G
m3	SPCS2
m3	SEC61A2
m3	SEC11A
m3	ZFP36
m3	DDOST
m3	RPN1
m3	MRPL11
m3	PARN
m3	MRPL24
m3	MRPL13
m3	MRTO4
m3	UPF1
m3	UPF2
m3	UPF3A
m3	GSPT1
m3	SMG7
m3	SMG8
m3	GSPT2
m3	SMG6
m3	SMG5
m3	ETF1
m3	DIS3L
m3	SUPV3L1
m3	EXOSC8
m3	DIS3
m3	KHSRP
m3	C1D
m4	SURF4
m4	YKT6
m4	RAB7A
m4	KIF21A
m4	KIF5C
m4	KLC2
m4	KLC1
m4	STX18
m4	STX5
m4	SPTB
m4	SPTBN4
m4	SPTAN1
m4	SPTBN2
m4	SPTBN5
m4	SPTBN1
m4	KIF9
m4	NSF
m4	DYNC1LI2
m4	RAB3GAP1
m4	RILP
m4	RAB18
m4	NAPA
m4	NAPB
m4	TMED2
m4	TMED10
m4	KIF3B
m4	KIF3C
m4	KIF3A
m4	KIFAP3
m4	DYNC2LI1
m4	DYNLL1
m4	DYNC2H1
m4	DYNC1H1
m4	KIFC1
m4	KIFC2
m4	RACGAP1
m4	KLC3
m4	KLC4
m4	KIF4A
m4	KIF15
m4	KIF20A
m4	KIF2C
m4	KIF23
m4	KTN1
m4	RAB1A
m4	RAB1B
m4	USO1
m4	GORASP1
m4	GOLGA2
m4	KIF18B
m4	CD55
m4	BNIP1
m4	COPZ2
m4	COPE
m4	USE1
m4	COPZ1
m4	RINT1
m4	KIF26A
m4	KDELR1
m4	ZW10
m4	KIF26B
m4	TMED9
m4	KDELR2
m4	GOSR2
m4	BICD2
m4	DCTN4
m4	DCTN6
m4	DCTN2
m4	DCTN1
m4	DYNC1I2
m4	DYNC1I1
m4	DCTN5
m4	BICD1
m4	DCTN3
m4	GOSR1
m4	NBAS
m4	KIF5A
m4	KIF18A
m4	KIF2A
m4	COG6
m4	COG4
m4	COG2
m4	COG8
m4	COG7
m4	COG3
m4	COG5
m4	COG1
m4	KDELR3
m4	COPA
m4	TMEM115
m4	TMED3
m4	TMED7
m4	KIF6
m4	KIF5B
m4	KIF25
m4	KIF21B
m4	KIF22
m4	KIF1A
m4	KIF20B
m4	KIF1C
m4	KIF1B
m4	KIF16B
m4	KIF12
m4	KIF13B
m4	GOLGB1
m4	COPG2
m4	COPG1
m4	COPB2
m4	KIF11
m4	ARF1
m4	CENPE
m4	ANK3
m4	ARF3
m4	ARFGAP2
m4	ARF5
m4	ARCN1
m4	BET1
m4	ARF4
m4	ARFGAP1
m4	BET1L
m4	GBF1
m4	ANK2
m4	ANK1
m4	OSBPL1A
m4	ACTR1A
m4	ACTR1B
m4	ACTR10
m5	RPP38
m5	RPP30
m5	RPP40
m5	NSUN5
m5	WDR3
m5	NOB1
m5	NOL12
m5	RPF1
m5	NSUN4
m5	NIFK
m5	MDN1
m5	NLE1
m5	PDCD11
m5	PES1
m5	NOC3L
m5	SDAD1
m5	NOA1
m5	GNL1
m5	GTPBP4
m5	NMD3
m5	TFB1M
m5	TFB2M
m5	PINX1
m5	RRP36
m5	RBM28
m5	UTP23
m5	IMP3
m5	PWP2
m5	WDR74
m5	GNL3
m5	NOP2
m5	NOP58
m5	XRN2
m5	FCF1
m5	LARP7
m5	RRS1
m5	LYAR
m5	NHP2
m5	RPF2
m5	FTSJ1
m5	FTSJ2
m5	PAK1IP1
m5	WDR12
m5	UTP15
m5	DDX51
m5	NOC4L
m5	WDR46
m5	DDX56
m5	DDX52
m5	FTSJ3
m5	DDX27
m5	DCAF13
m5	TRMT6
m5	TRMT61B
m5	WDR43
m5	WDR36
m5	UTP14A
m5	UTP11L
m5	RRP9
m5	MRTO4
m5	NIP7
m5	PPAN-P2RY11
m5	SURF6
m5	RRP15
m5	PPAN
m5	GNL2
m5	NSUN6
m5	PA2G4
m5	KIAA0020
m5	TSR1
m5	NAT10
m5	MAK16
m5	PWP1
m5	TBL3
m5	PNO1
m5	UTP18
m5	RRP7A
m5	UTP3
m5	UTP6
m5	DDX28
m5	DIEXF
m5	DDX54
m5	DDX55
m5	NOC2L
m5	NGDN
m5	IMP4
m5	GRWD1
m5	NOP14
m5	RBM34
m5	RSL1D1
m5	BRIX1
m5	CIRH1A
m5	DDX18
m5	KRR1
m5	DDX49
m5	BYSL
m5	DIMT1
m5	CEBPZ
m5	FBL
m5	DDX47
m5	RCL1
m5	RRP1
m5	POLR1B
m5	DKC1
m5	RRP1B
m5	DDX24
m5	ZNF593
m5	NOP16
m5	NSUN3
m5	NVL
m5	NOL6
m5	MPHOSPH10
m5	WDR75
m5	RIOK2
m5	LTV1
m5	HEATR1
m5	RBM19
m5	LSG1
m5	UTP20
m5	NOL11
m5	RIOK1
m5	RIOK3
m5	NOP9
m5	DHX37
m5	ESF1
m5	KRI1
m5	GLTSCR2
m5	DDX10
m5	BOP1
m5	KCTD19
m5	NSUN2
m5	HAS3
m5	ABT1
m5	BMS1
m5	AATF
m6	YIPF6
m6	UBQLN2
m6	WNT5A
m6	VAMP4
m6	VAMP8
m6	VAMP2
m6	VAMP3
m6	SLC18A3
m6	VAMP7
m6	SORT1
m6	SYT1
m6	SYNJ2
m6	SYNJ1
m6	OCRL
m6	PIK3C2A
m6	TFRC
m6	TXNDC5
m6	EPS15
m6	RAB5A
m6	RAB5B
m6	WASL
m6	FZD4
m6	DNM2
m6	SNX5
m6	SNX2
m6	TRIP10
m6	SH3GL2
m6	STON2
m6	DTNBP1
m6	BLOC1S4
m6	BLOC1S6
m6	BLOC1S3
m6	SNAPIN
m6	DNM1
m6	TGOLN2
m6	CD3D
m6	CD4
m6	TF
m6	SH3GL1
m6	CTTN
m6	IGF2R
m6	M6PR
m6	SH3GL3
m6	CLTA
m6	BIN1
m6	CLTB
m6	ARRB1
m6	ARRB2
m6	LRP2
m6	LDLR
m6	SYT9
m6	CLTC
m6	AP3S1
m6	AP4E1
m6	PCSK9
m6	TPD52L1
m6	TBC1D8B
m6	SNX9
m6	BLOC1S1
m6	RAB5C
m6	NECAP1
m6	SH3D19
m6	TPD52
m6	PICALM
m6	DNAJC6
m6	AP1S1
m6	CLINT1
m6	AP4B1
m6	GAK
m6	HIP1R
m6	PUM1
m6	AP2A1
m6	DNM3
m6	AP2A2
m6	AP1S2
m6	AP2S1
m6	AP2M1
m6	AP3B1
m6	AP2B1
m6	AP1M2
m6	CPD
m6	AP1S3
m6	ITSN2
m6	ITSN1
m6	AP1G1
m6	AP1M1
m6	AP1B1
m6	SYT11
m6	SYT8
m6	SCARB2
m6	LDLRAP1
m6	DAB2
m6	AVPR2
m6	STON1
m6	SNAP91
m6	CHRM2
m6	AGFG1
m6	AMPH
m6	EPN1
m6	ARPC1A
m6	ARPC4
m6	ARPC3
m6	ARPC5
m6	ARPC2
m6	HIP1
m6	NECAP2
m6	ACTR3
m6	ACTR2
m6	CLTCL1
m6	FNBP1L
m6	FNBP1
m6	EPN2
m6	PACSIN1
m6	REPS2
m6	PACSIN2
m6	PACSIN3
m6	SNX18
m6	REPS1
m6	SLC2A8
m6	FCHO2
m6	KIAA0319
m6	SGIP1
m6	FCHO1
m6	AAK1
m7	MRPL30
m7	MRPL47
m7	MRPL4
m7	MRPL50
m7	MRPL37
m7	MRPS30
m7	MRPL9
m7	MRPL39
m7	MRPL36
m7	MRPL38
m7	MTRF1L
m7	MRPS10
m7	MRPS5
m7	MRPS12
m7	MRPS15
m7	MRPS11
m7	MRPS14
m7	MRPS7
m7	MRPS9
m7	MRPS2
m7	MRPL2
m7	MRPL22
m7	MRPL17
m7	MRPL3
m7	MRPL15
m7	MRPL16
m7	MRPL1
m7	MRPL11
m7	GFM2
m7	MRPL46
m7	MRPL32
m7	ICT1
m7	MRPL43
m7	MRPL20
m7	MRPL35
m7	MRPL21
m7	MRPL24
m7	MRPL40
m7	MRPS18C
m7	MRPL42
m7	MRPL18
m7	MRPL49
m7	MRPS36
m7	MRPS34
m7	MRPL23
m7	MRPS25
m7	MRPL55
m7	MRPL27
m7	MRPL54
m7	PTCD3
m7	MRPS18B
m7	MRPS23
m7	MRPL28
m7	MRPL13
m7	MRPS22
m7	MRPL44
m7	MRPS6
m7	MRPL45
m7	MRPS18A
m7	MRPL34
m7	MRPS16
m7	MRPL10
m7	MRPS17
m7	MRPS28
m7	MRPL19
m7	MRPL12
m7	MRPL33
m7	MRPL14
m7	MRPS35
m7	GFM1
m7	MRPS33
m7	TSFM
m7	MRPL53
m7	TUFM
m7	MRPL51
m7	MRPL52
m7	MRPL48
m7	MTIF2
m7	MRPS27
m7	MRPS26
m7	MTIF3
m7	MRPS21
m7	C2orf15
m7	MRP63
m7	DAP3
m7	GADD45GIP1
m7	CHCHD1
m7	AURKAIP1
m8	KNG1
m8	POMC
m8	IL8
m8	CXCR4
m8	OPRM1
m8	GNG11
m8	TAS2R14
m8	TAS2R41
m8	TAS2R43
m8	TAS2R3
m8	CXCR3
m8	CCR1
m8	CXCL10
m8	CXCL12
m8	CCR6
m8	S1PR4
m8	MCHR2
m8	PTGDR2
m8	PPBP
m8	NPBWR2
m8	CCR9
m8	NMS
m8	CXCL16
m8	PF4
m8	CXCL2
m8	CXCL5
m8	CXCL6
m8	P2RY12
m8	CXCR6
m8	CXCL1
m8	CNR2
m8	GNAI1
m8	OXER1
m8	SUCNR1
m8	S1PR1
m8	PTGER3
m8	OXGR1
m8	P2RY14
m8	S1PR3
m8	C5
m8	GNAI3
m8	CCL5
m8	MCHR1
m8	NMUR2
m8	NMU
m8	LPAR3
m8	LPAR2
m8	LPAR1
m8	HEBP1
m8	SST
m8	NPY
m8	CCL28
m8	CORT
m8	PPY
m8	HTR5A
m8	FPR1
m8	GALR2
m8	PENK
m8	GPER1
m8	OPRL1
m8	FPR2
m8	CNR1
m8	PDYN
m8	PYY
m8	CCR10
m8	SSTR2
m8	GAL
m8	CCL16
m8	CCL20
m8	CCL27
m8	CCL25
m8	NPW
m8	CCL21
m8	SSTR4
m8	SSTR1
m8	C5AR1
m8	GALR3
m8	GRM3
m8	HRH3
m8	NPB
m8	GRM2
m8	NPY5R
m8	GRM6
m8	OPRK1
m8	NPY2R
m8	GRM8
m8	PNOC
m8	GRM7
m8	HTR1D
m8	NMUR1
m8	S1PR5
m8	HTR1E
m8	BDKRB2
m8	BDKRB1
m8	AGT
m8	GPSM1
m8	TAS2R1
m8	FPR3
m8	CHRM4
m8	CHRM2
m8	GABBR2
m8	GABBR1
m8	DRD4
m8	ANXA1
m8	C3AR1
m8	AGTR2
m8	APLN
m8	APLNR
m8	ADORA1
m8	ADRA2C
m8	ADRA2A
m8	ADRA2B
m8	ADCY1
m8	ACKR4
m8	ACKR3
m9	TUBD1
m9	TUBGCP2
m9	TUBGCP3
m9	TUBGCP6
m9	TUBA4A
m9	TUBB4B
m9	TUBB4A
m9	TUBA1A
m9	TUBB
m9	MZT2B
m9	TUBGCP4
m9	TUBGCP5
m9	TUBG1
m9	RAB11A
m9	NPHP1
m9	SFI1
m9	FGFR1OP
m9	SASS6
m9	TMEM35
m9	MZT1
m9	NUMA1
m9	CEP70
m9	HMMR
m9	CEP97
m9	NEK2
m9	SSNA1
m9	CETN2
m9	TCTN2
m9	TUBG2
m9	NDE1
m9	RAB8A
m9	PLK4
m9	RPGRIP1L
m9	OFD1
m9	PCM1
m9	HAUS1
m9	PCNT
m9	HAUS8
m9	NINL
m9	RAB3IP
m9	HAUS2
m9	NPHP4
m9	CEP72
m9	TPX2
m9	MARK4
m9	CENPJ
m9	MAPRE1
m9	HAUS3
m9	HAUS4
m9	HAUS5
m9	NEDD1
m9	HAUS6
m9	TTBK2
m9	SCLT1
m9	MKS1
m9	TMEM67
m9	TMEM216
m9	CEP164
m9	CEP57
m9	CEP78
m9	IQCB1
m9	CEP76
m9	CNTRL
m9	CEP89
m9	CEP63
m9	SDCCAG8
m9	TCTN3
m9	FBF1
m9	OPTN
m9	TCTN1
m9	CEP192
m9	CEP250
m9	CEP290
m9	CDK5RAP2
m9	CEP135
m9	CEP152
m9	CEP41
m9	ALMS1
m9	CCP110
m9	B9D2
m9	B9D1
m9	C2CD3
m9	CCDC41
m9	AHI1
m9	AKAP9
m9	AJUBA
m9	ACTR1A
m10	P4HB
m10	LEPREL1
m10	COL23A1
m10	COL4A6
m10	COL8A1
m10	COL5A1
m10	P4HA1
m10	PLOD3
m10	COL28A1
m10	COL27A1
m10	COL8A2
m10	COL2A1
m10	COL4A5
m10	COL6A2
m10	COL5A2
m10	COL6A6
m10	COL7A1
m10	PLOD1
m10	SERPINH1
m10	COL9A2
m10	COL6A1
m10	PLOD2
m10	P4HA2
m10	COL5A3
m10	COL4A2
m10	COL9A1
m10	COLGALT1
m10	LEPREL2
m10	COL4A4
m10	COL22A1
m10	COL3A1
m10	PPIB
m10	COL19A1
m10	COL20A1
m10	COL21A1
m10	COL1A2
m10	COL4A1
m10	PCOLCE
m10	TLL2
m10	COL15A1
m10	COL1A1
m10	COL4A3
m10	CRTAP
m10	COL16A1
m10	COL18A1
m10	SETMAR
m10	LEPRE1
m10	IBSP
m10	COL12A1
m10	COL14A1
m10	COL13A1
m10	ITGA10
m10	COL10A1
m10	COL11A1
m10	TLL1
m10	PCOLCE2
m10	BMP1
m10	MSR1
m10	ALPL
m11	GPX4
m11	GSTO2
m11	GSS
m11	GSTM1
m11	HPGDS
m11	GSTK1
m11	GSTA4
m11	GSTO1
m11	GSTT1
m11	MGST2
m11	GSTM4
m11	GSTA2
m11	GSTP1
m11	GSTA5
m11	MGST3
m11	GSTM5
m11	GSTM3
m11	GSTM2
m11	MGST1
m11	GSR
m11	GGT7
m11	GPX7
m11	GPX8
m11	UGT1A3
m11	UGT2A3
m11	GGH
m11	CYP2F1
m11	CYP26C1
m11	CYP26B1
m11	CYP26A1
m11	CYP2E1
m11	CYP1A1
m11	CYP2A6
m11	TXNDC12
m11	GGT5
m11	GGT1
m11	GPX2
m11	GPX3
m11	CYP2B6
m11	CYP2C8
m11	CYP1B1
m11	COMT
m11	CYP3A5
m11	CYP2S1
m11	AKR1C3
m11	ALDH3A1
m11	ALDH1A3
m11	ADH5
m11	ALDH1A1
m11	ADH4
m11	ADH1B
m11	ADH1A
